,date,btl_rating,tln_rating,alp_rating,problem1,problem2,problem3,chance1,chance2,chance3
0,2019-01-01,norating,norating,norating,,,,,,
0,2019-01-02,norating,norating,norating,,,,,,
0,2019-01-03,norating,norating,norating,,,,,,
0,2019-01-04,norating,norating,norating,,,,,,
0,2019-01-05,norating,norating,norating,,,,,,
0,2019-01-06,norating,norating,norating,,,,,,
0,2019-01-07,norating,norating,norating,,,,,,
0,2019-01-08,norating,norating,norating,,,,,,
0,2019-01-09,norating,norating,norating,,,,,,
0,2019-01-10,norating,norating,norating,,,,,,
0,2019-01-11,norating,norating,norating,,,,,,
0,2019-01-12,norating,norating,norating,,,,,,
0,2019-01-13,norating,norating,norating,,,,,,
0,2019-01-14,norating,norating,norating,,,,,,
0,2019-01-15,norating,norating,norating,,,,,,
0,2019-01-16,norating,norating,norating,,,,,,
0,2019-01-17,norating,norating,norating,,,,,,
0,2019-01-18,norating,norating,norating,,,,,,
0,2019-01-19,norating,norating,norating,,,,,,
0,2019-01-20,norating,norating,norating,,,,,,
0,2019-01-21,norating,norating,norating,,,,,,
0,2019-01-22,norating,norating,norating,,,,,,
0,2019-01-23,norating,norating,norating,,,,,,
0,2019-01-24,norating,norating,norating,,,,,,
0,2019-01-25,norating,norating,norating,,,,,,
0,2019-01-26,norating,norating,norating,,,,,,
0,2019-01-27,norating,norating,norating,,,,,,
0,2019-01-28,norating,norating,norating,,,,,,
0,2019-01-29,norating,norating,norating,,,,,,
0,2019-01-30,norating,norating,norating,,,,,,
0,2019-01-31,norating,norating,norating,,,,,,
0,2019-02-01,norating,norating,norating,,,,,,
0,2019-02-02,norating,norating,norating,,,,,,
0,2019-02-03,norating,norating,norating,,,,,,
0,2019-02-04,norating,norating,norating,,,,,,
0,2019-02-05,norating,norating,norating,,,,,,
0,2019-02-06,norating,norating,norating,,,,,,
0,2019-02-07,norating,norating,norating,,,,,,
0,2019-02-08,norating,norating,norating,,,,,,
0,2019-02-09,norating,norating,norating,,,,,,
0,2019-02-10,norating,norating,norating,,,,,,
0,2019-02-11,norating,norating,norating,,,,,,
0,2019-02-12,norating,norating,norating,,,,,,
0,2019-02-13,norating,norating,norating,,,,,,
0,2019-02-14,norating,norating,norating,,,,,,
0,2019-02-15,norating,norating,norating,,,,,,
0,2019-02-16,norating,norating,norating,,,,,,
0,2019-02-17,norating,norating,norating,,,,,,
0,2019-02-18,norating,norating,norating,,,,,,
0,2019-02-19,norating,norating,norating,,,,,,
0,2019-02-20,norating,norating,norating,,,,,,
0,2019-02-21,norating,norating,norating,,,,,,
0,2019-02-22,norating,norating,norating,,,,,,
0,2019-02-23,norating,norating,norating,,,,,,
0,2019-02-24,norating,norating,norating,,,,,,
0,2019-02-25,norating,norating,norating,,,,,,
0,2019-02-26,norating,norating,norating,,,,,,
0,2019-02-27,norating,norating,norating,,,,,,
0,2019-02-28,norating,norating,norating,,,,,,
0,2019-03-01,norating,norating,norating,,,,,,
0,2019-03-02,norating,norating,norating,,,,,,
0,2019-03-03,norating,norating,norating,,,,,,
0,2019-03-04,norating,norating,norating,,,,,,
0,2019-03-05,norating,norating,norating,,,,,,
0,2019-03-06,norating,norating,norating,,,,,,
0,2019-03-07,norating,norating,norating,,,,,,
0,2019-03-08,norating,norating,norating,,,,,,
0,2019-03-09,norating,norating,norating,,,,,,
0,2019-03-10,norating,norating,norating,,,,,,
0,2019-03-11,norating,norating,norating,,,,,,
0,2019-03-12,norating,norating,norating,,,,,,
0,2019-03-13,norating,norating,norating,,,,,,
0,2019-03-14,norating,norating,norating,,,,,,
0,2019-03-15,norating,norating,norating,,,,,,
0,2019-03-16,norating,norating,norating,,,,,,
0,2019-03-17,norating,norating,norating,,,,,,
0,2019-03-18,norating,norating,norating,,,,,,
0,2019-03-19,norating,norating,norating,,,,,,
0,2019-03-20,norating,norating,norating,,,,,,
0,2019-03-21,norating,norating,norating,,,,,,
0,2019-03-22,norating,norating,norating,,,,,,
0,2019-03-23,norating,norating,norating,,,,,,
0,2019-03-24,norating,norating,norating,,,,,,
0,2019-03-25,norating,norating,norating,,,,,,
0,2019-03-26,norating,norating,norating,,,,,,
0,2019-03-27,norating,norating,norating,,,,,,
0,2019-03-28,norating,norating,norating,,,,,,
0,2019-03-29,norating,norating,norating,,,,,,
0,2019-03-30,norating,norating,norating,,,,,,
0,2019-03-31,norating,norating,norating,,,,,,
0,2019-04-01,norating,norating,norating,,,,,,
0,2019-04-02,norating,norating,norating,,,,,,
0,2019-04-03,norating,norating,norating,,,,,,
0,2019-04-04,norating,norating,norating,,,,,,
0,2019-04-05,norating,norating,norating,,,,,,
0,2019-04-06,norating,norating,norating,,,,,,
0,2019-04-07,norating,norating,norating,,,,,,
0,2019-04-08,norating,norating,norating,,,,,,
0,2019-04-09,norating,norating,norating,,,,,,
