"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.34","51.44","YOHO PARK","11790J1","2022-01-01","2022","01","01","","-19.5","","-33.4","","-26.5","","44.5","","0.0","","","","","","0.2","","94","","27","","61",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-02","2022","01","02","","-13.9","","-19.5","","-16.7","","34.7","","0.0","","","","","","5.4","","100","","27","","59",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-03","2022","01","03","","-11.6","","-22.3","","-17.0","","35.0","","0.0","","","","","","3.0","","106","","6","","41",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-04","2022","01","04","","-21.7","","-25.7","","-23.7","","41.7","","0.0","","","","","","1.3","","111","","6","","46",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-05","2022","01","05","","-23.3","","-30.6","","-26.9","","44.9","","0.0","","","","","","0.2","","110","","7","","34",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-06","2022","01","06","","-15.7","","-31.1","","-23.4","","41.4","","0.0","","","","","","2.3","","108","","26","","43",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-07","2022","01","07","","-9.4","","-16.6","","-13.0","","31.0","","0.0","","","","","","3.0","","120","","24","","47",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-08","2022","01","08","","-9.7","","-13.0","","-11.4","","29.4","","0.0","","","","","","0.0","","126","","24","","49",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-09","2022","01","09","","-6.8","","-12.5","","-9.7","","27.7","","0.0","","","","","","0.0","","124","","26","","56",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-10","2022","01","10","","-5.8","","-9.0","","-7.4","","25.4","","0.0","","","","","","0.0","","124","","26","","62",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-11","2022","01","11","","-2.6","","-6.8","","-4.7","","22.7","","0.0","","","","","","0.0","","123","","28","","48",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-12","2022","01","12","","-0.5","","-2.7","","-1.6","","19.6","","0.0","","","","","","0.0","","127","","26","","45",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-13","2022","01","13","","0.6","","-1.3","","-0.4","","18.4","","0.0","","","","","","1.9","","130","","27","","46",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-14","2022","01","14","","-1.2","","-5.1","","-3.1","","21.1","","0.0","","","","","","0.0","","125","","25","","51",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-15","2022","01","15","","0.2","","-3.1","","-1.4","","19.4","","0.0","","","","","","0.2","","123","","27","","52",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-16","2022","01","16","","-2.7","","-4.2","","-3.4","","21.4","","0.0","","","","","","0.0","","119","","27","","48",""
"-116.34","51.44","YOHO PARK","11790J1","2022-01-17","2022","01","17","","-1.0","","-3.4","","-2.2","","20.2","","0.0","","","","","","0.0","","131","","28","","50",""
