"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.34","51.44","YOHO PARK","11790J1","2020-01-01","2020","01","01","","-3.8","","-6.4","","-5.1","","23.1","","0.0","","","","","","","M","92","","26","","42",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-02","2020","01","02","","-4.4","","-10.7","","-7.5","","25.5","","0.0","","","","","","","M","96","","24","","58",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-03","2020","01","03","","-3.5","","-10.4","","-6.9","","24.9","","0.0","","","","","","","M","96","","26","","57",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-04","2020","01","04","","-2.1","","-8.3","","-5.2","","23.2","","0.0","","","","","","","M","98","","24","","85",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-05","2020","01","05","","-4.7","","-8.0","","-6.3","","24.3","","0.0","","","","","","","M","103","","26","","41",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-06","2020","01","06","","-5.3","","-8.7","","-7.0","","25.0","","0.0","","","","","","","M","101","","22","","50",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-07","2020","01","07","","-5.8","","-9.3","","-7.6","","25.6","","0.0","","","","","","","M","96","","26","","37",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-08","2020","01","08","","-2.8","","-11.2","","-7.0","","25.0","","0.0","","","","","","","M","106","","23","","48",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-09","2020","01","09","","-11.2","","-21.3","","-16.3","","34.3","","0.0","","","","","","","M","107","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-10","2020","01","10","","-11.5","","-21.3","","-16.4","","34.4","","0.0","","","","","","","M","103","","25","","52",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-11","2020","01","11","","-9.0","","-13.3","","-11.1","","29.1","","0.0","","","","","","","M","103","","26","","42",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-12","2020","01","12","","-9.7","","-23.9","","-16.8","","34.8","","0.0","","","","","","","M","108","","8","","52",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-13","2020","01","13","","-23.8","","-31.5","","-27.6","","45.6","","0.0","","","","","","","M","103","","6","","42",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-14","2020","01","14","","-25.8","","-32.2","","-29.0","","47.0","","0.0","","","","","","","M","103","","6","","33",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-15","2020","01","15","","-22.9","","-31.1","","-27.0","","45.0","","0.0","","","","","","","M","101","","7","","41",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-16","2020","01","16","","-15.2","","-27.2","","-21.2","","39.2","","0.0","","","","","","","M","101","","6","","41",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-17","2020","01","17","","-8.2","","-25.5","","-16.9","","34.9","","0.0","","","","","","","M","105","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-18","2020","01","18","","-10.8","","-19.8","","-15.3","","33.3","","0.0","","","","","","","M","103","","25","","46",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-19","2020","01","19","","-4.7","","-11.7","","-8.2","","26.2","","0.0","","","","","","","M","103","","27","","50",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-20","2020","01","20","","-2.2","","-6.2","","-4.2","","22.2","","0.0","","","","","","","M","102","","26","","46",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-21","2020","01","21","","-1.2","","-4.0","","-2.6","","20.6","","0.0","","","","","","","M","100","","26","","35",""
"-116.34","51.44","YOHO PARK","11790J1","2020-01-22","2020","01","22","","-1.9","","-4.7","","-3.3","","21.3","","0.0","","","","","","","M","99","","27","","33",""
