"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.34","51.44","YOHO PARK","11790J1","2023-01-01","2023","01","01","","-3.0","","-9.8","","-6.4","","24.4","","0.0","","","","","","0.4","","78","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-02","2023","01","02","","-7.1","","-15.5","","-11.3","","29.3","","0.0","","","","","","0.0","","72","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-03","2023","01","03","","-10.6","","-16.5","","-13.5","","31.5","","0.0","","","","","","0.2","","69","","26","","40",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-04","2023","01","04","","-6.7","","-14.1","","-10.4","","28.4","","0.0","","","","","","0.0","","68","","26","","31",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-05","2023","01","05","","-8.7","","-14.2","","-11.5","","29.5","","0.0","","","","","","0.0","","68","","27","","32",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-06","2023","01","06","","-4.4","","-8.9","","-6.7","","24.7","","0.0","","","","","","0.0","","65","","25","","43",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-07","2023","01","07","","-2.4","","-6.6","","-4.5","","22.5","","0.0","","","","","","0.0","","64","","26","","46",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-08","2023","01","08","","-0.8","","-7.4","","-4.1","","22.1","","0.0","","","","","","0.3","","64","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-09","2023","01","09","","-1.4","","-6.3","","-3.8","","21.8","","0.0","","","","","","0.2","","65","","27","","37",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-10","2023","01","10","","-2.1","","-7.3","","-4.7","","22.7","","0.0","","","","","","0.0","","65","","26","","36",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-11","2023","01","11","","-3.8","","-13.8","","-8.8","","26.8","","0.0","","","","","","0.0","","63","","26","","35",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-12","2023","01","12","","-3.2","","-8.3","","-5.7","","23.7","","0.0","","","","","","0.0","","62","","27","","51",""
"-116.34","51.44","YOHO PARK","11790J1","2023-01-13","2023","01","13","","0.5","","-3.3","","-1.4","","19.4","","0.0","","","","","","0.2","","62","","26","","54",""
